berat,tinggi,deskripsi
67.5,168.2,Normal
119.0,168.7,Obese
66.5,154.7,Normal
53.6,166.5,Slim
66.4,163.5,Normal
49.1,166.6,Slim
69.4,171.0,Normal
51.6,173.7,Normal
64.7,179.6,Normal
71.4,170.7,Normal
56.4,167.6,Normal
77.3,179.5,Fat
102.6,166.4,Obese
70.5,184.5,Normal
50.5,159.0,Slim
48.2,171.4,Slim
63.3,163.8,Normal
71.5,170.9,Fat
77.4,169.5,Fat
72.0,168.1,Normal
72.9,167.6,Normal
65.0,193.0,Slim
53.4,174.4,Slim
80.7,172.3,Fat
73.8,170.1,Fat
82.5,174.7,Fat
60.8,167.9,Normal
100.6,155.5,Obese
41.6,167.1,Slim
108.0,165.5,Fat
58.5,170.3,Normal
113.4,164.2,Obese
70.7,164.4,Normal
75.8,162.6,Fat
64.6,168.6,Slim
49.2,152.3,Slim
55.0,184.7,Normal
54.2,171.5,Slim
75.2,168.0,Fat
92.0,161.4,Normal
56.6,171.2,Normal
71.0,163.4,Normal
97.5,172.5,Fat
50.5,183.9,Slim
50.7,180.7,Slim
48.3,168.1,Slim
70.3,174.0,Normal
95.7,167.4,Fat
74.2,163.8,Fat
92.8,162.9,Obese
95.5,160.5,Fat
82.3,165.2,Fat
79.7,167.4,Fat
65.8,170.7,Normal
60.4,166.4,Normal
69.6,160.7,Normal
62.7,157.0,Normal
88.3,154.3,Fat
93.7,160.5,Fat
88.8,165.4,Fat
54.7,164.2,Normal
81.4,156.0,Fat
37.1,181.4,Slim
78.9,161.0,Fat
68.6,168.4,Normal
65.4,161.0,Normal
45.0,183.8,Slim
87.7,155.9,Fat
85.6,164.9,Fat
70.9,169.0,Fat
39.8,164.0,Slim
52.7,183.4,Slim
85.6,159.2,Obese
109.5,160.7,Fat
59.5,181.0,Normal
115.8,171.1,Obese
79.5,166.5,Fat
72.2,164.7,Fat
61.6,172.2,Normal
48.2,164.2,Slim
99.5,161.5,Fat
66.9,181.2,Normal
100.5,172.2,Fat
64.5,169.8,Normal
114.5,166.6,Obese
123.5,173.6,Obese
73.7,178.2,Fat
95.8,176.0,Fat
61.6,168.8,Normal
43.1,152.2,Slim
58.0,163.8,Fat
89.9,164.4,Fat
103.8,165.5,Obese
101.7,156.2,Obese
99.1,170.0,Obese
94.2,164.7,Fat
65.6,175.0,Normal
58.8,159.7,Normal
58.4,165.6,Slim
98.4,165.3,Obese
56.6,170.5,Slim
91.1,172.8,Fat
99.5,173.0,Fat
72.1,169.1,Fat
110.1,157.7,Obese
57.5,168.4,Normal
62.9,174.6,Slim
55.4,162.8,Normal
49.4,188.1,Slim
66.5,168.6,Normal
127.5,157.8,Obese
97.8,163.9,Obese
100.5,174.3,Obese
71.6,153.3,Fat
110.1,168.6,Obese
78.0,166.4,Fat
95.4,176.3,Obese
100.2,152.8,Obese
67.1,154.3,Normal
121.9,163.8,Obese
75.1,161.4,Fat
67.5,176.3,Normal
69.0,170.2,Normal
66.6,166.5,Fat
103.2,165.3,Obese
65.6,185.5,Normal
56.3,164.7,Normal
95.3,175.9,Obese
79.6,153.9,Fat
74.1,167.7,Normal
59.7,168.1,Slim
55.0,171.7,Slim
79.6,176.0,Fat
74.5,164.8,Normal
70.5,161.2,Obese
61.5,164.2,Normal
42.1,176.8,Slim
124.5,169.7,Obese
93.3,156.4,Fat
69.4,168.4,Normal
56.2,168.7,Normal
52.7,166.3,Normal
46.0,183.5,Slim
100.0,169.4,Fat
49.7,176.1,Slim
68.2,150.3,Normal
92.3,164.5,Obese
67.9,166.2,Normal
87.0,152.8,Fat
57.6,162.6,Normal
78.0,160.8,Normal
52.5,162.4,Slim
69.4,164.4,Fat
85.8,161.7,Fat
87.0,170.5,Fat
64.5,172.1,Normal
62.9,169.5,Normal
79.6,166.4,Fat
87.8,175.8,Fat
75.3,151.0,Normal
89.7,159.4,Fat
58.2,164.1,Slim
43.9,158.3,Slim
79.3,162.8,Fat
89.6,154.7,Fat
96.5,177.2,Fat
63.4,168.9,Normal
72.2,167.8,Normal
45.3,172.0,Slim
110.6,179.5,Fat
98.5,159.9,Fat
100.0,166.3,Fat
66.8,178.8,Normal
90.2,158.0,Fat
51.8,161.5,Slim
116.8,157.4,Obese
49.6,159.1,Slim
91.6,160.0,Obese
65.8,158.3,Normal
59.3,161.9,Normal
61.8,166.3,Normal
74.9,169.8,Fat
56.6,148.2,Normal
55.8,168.0,Slim
77.3,159.2,Fat
58.3,170.0,Slim
73.0,177.4,Normal
63.5,168.6,Normal
86.1,167.0,Fat
63.0,173.0,Normal
71.5,160.0,Normal
86.5,177.6,Fat
